iter	Passed	Remaining
0	0	97
1	1	86
2	2	81
3	3	74
4	3	73
5	4	73
6	5	72
7	6	71
8	7	71
9	7	70
10	8	69
11	9	69
12	10	68
13	11	68
14	12	68
15	13	68
16	14	70
17	15	70
18	16	70
19	17	70
20	18	69
21	19	69
22	20	68
23	21	68
24	22	67
25	23	67
26	24	66
27	25	66
28	26	65
29	27	65
30	28	64
31	29	63
32	30	62
33	31	61
34	32	60
35	33	59
36	34	59
37	35	58
38	36	57
39	37	55
40	38	54
41	38	53
42	39	52
43	40	51
44	41	50
45	42	49
46	42	48
47	43	47
48	44	46
49	45	45
50	46	44
51	47	43
52	48	42
53	49	41
54	49	40
55	50	39
56	51	38
57	52	37
58	53	36
59	53	35
60	54	35
61	55	34
62	56	33
63	57	32
64	58	31
65	59	30
66	60	29
67	60	28
68	61	27
69	62	26
70	63	25
71	64	25
72	65	24
73	66	23
74	67	22
75	67	21
76	68	20
77	69	19
78	70	18
79	71	17
80	72	17
81	73	16
82	74	15
83	75	14
84	76	13
85	77	12
86	77	11
87	78	10
88	79	9
89	80	8
90	81	8
91	82	7
92	83	6
93	84	5
94	85	4
95	86	3
96	86	2
97	87	1
98	88	0
99	89	0
