iter	Passed	Remaining
0	148	148456
1	150	75320
2	152	50792
3	154	38551
4	156	31078
5	157	26144
6	159	22575
7	160	19900
8	161	17817
9	163	16158
10	164	14790
11	166	13676
12	167	12732
13	169	11904
14	170	11203
15	171	10568
16	173	10010
17	174	9511
18	175	9067
19	177	8675
20	178	8326
21	180	8018
22	182	7731
23	183	7452
24	184	7193
25	185	6953
26	186	6733
27	188	6529
28	189	6337
29	190	6164
30	191	5999
31	193	5842
32	194	5708
33	196	5583
34	197	5455
35	199	5330
36	200	5211
37	201	5098
38	202	4993
39	204	4901
40	205	4805
41	206	4713
42	208	4636
43	209	4562
44	211	4493
45	213	4418
46	214	4345
47	215	4278
48	217	4212
49	218	4147
50	219	4084
51	220	4024
52	222	3974
53	224	3927
54	225	3873
55	226	3822
56	228	3775
57	229	3726
58	231	3684
59	232	3637
60	233	3592
61	234	3548
62	237	3535
63	239	3500
64	240	3461
65	241	3422
66	243	3385
67	244	3348
68	245	3312
69	246	3276
70	247	3242
71	248	3208
72	250	3176
73	251	3144
74	252	3119
75	254	3094
76	255	3066
77	257	3040
78	258	3017
79	259	2989
80	261	2963
81	262	2938
82	263	2906
83	264	2882
84	265	2859
85	267	2838
86	268	2815
87	269	2794
88	270	2773
89	272	2752
90	273	2730
91	274	2709
92	275	2690
93	277	2672
94	278	2653
95	279	2634
96	281	2617
97	282	2601
98	284	2588
99	285	2572
100	286	2554
101	288	2539
102	289	2522
103	291	2508
104	292	2493
105	293	2476
106	294	2460
107	295	2444
108	299	2446
109	301	2439
110	302	2425
111	304	2411
112	305	2397
113	306	2383
114	307	2369
115	309	2355
116	310	2339
117	311	2327
118	312	2315
119	314	2303
120	315	2290
121	316	2275
122	317	2262
123	318	2249
124	319	2237
125	320	2224
126	321	2211
127	322	2199
128	324	2188
129	325	2176
130	326	2165
131	327	2155
132	329	2145
133	330	2134
134	331	2123
135	332	2112
136	333	2101
137	334	2092
138	336	2081
139	337	2071
140	338	2061
141	339	2049
142	340	2039
143	341	2031
144	343	2022
145	344	2014
146	345	2004
147	346	1995
148	347	1986
149	348	1977
150	350	1968
151	351	1960
152	352	1951
153	353	1942
154	355	1936
155	356	1929
156	358	1925
157	360	1919
158	361	1912
159	362	1904
160	363	1894
161	364	1886
162	365	1878
163	366	1870
164	368	1863
165	369	1857
166	370	1849
167	372	1843
168	374	1840
169	375	1834
170	377	1828
171	378	1822
172	380	1817
173	381	1810
174	382	1804
175	384	1799
176	385	1793
177	387	1787
178	388	1782
179	390	1777
180	391	1772
181	392	1765
182	394	1760
183	396	1758
184	398	1756
185	400	1751
186	401	1746
187	403	1741
188	404	1735
189	405	1729
190	406	1723
191	408	1717
192	409	1711
193	410	1705
194	411	1699
195	412	1693
196	413	1687
197	415	1681
198	416	1676
199	417	1671
200	419	1666
201	420	1660
202	421	1655
203	422	1650
204	424	1648
205	426	1643
206	427	1638
207	429	1633
208	430	1628
209	431	1624
210	433	1619
211	434	1614
212	435	1609
213	436	1604
214	438	1599
215	439	1593
216	440	1588
217	441	1583
218	442	1578
219	443	1574
220	445	1569
221	446	1564
222	447	1559
223	449	1555
224	450	1551
225	451	1546
226	452	1542
227	453	1537
228	455	1532
229	456	1527
230	457	1522
231	458	1518
232	459	1513
233	461	1509
234	462	1505
235	463	1501
236	465	1498
237	466	1494
238	468	1492
239	470	1489
240	471	1485
241	473	1481
242	474	1478
243	476	1475
244	477	1471
245	479	1468
246	480	1464
247	481	1460
248	482	1455
249	483	1451
250	485	1447
251	486	1443
252	487	1439
253	488	1435
254	490	1434
255	492	1431
256	494	1428
257	495	1424
258	496	1420
259	497	1416
260	498	1412
261	499	1408
262	501	1404
263	502	1401
264	503	1397
265	504	1393
266	506	1390
267	507	1386
268	508	1382
269	510	1379
270	511	1375
271	512	1371
272	513	1368
273	515	1364
274	516	1361
275	517	1358
276	519	1355
277	520	1352
278	522	1349
279	523	1346
280	525	1343
281	526	1340
282	527	1336
283	528	1332
284	529	1329
285	531	1326
286	532	1322
287	533	1319
288	535	1316
289	536	1313
290	537	1310
291	539	1306
292	540	1303
293	541	1300
294	542	1297
295	543	1293
296	545	1290
297	546	1286
298	547	1283
299	548	1280
300	549	1276
301	551	1274
302	552	1271
303	554	1268
304	555	1265
305	556	1262
306	557	1259
307	558	1255
308	560	1252
309	561	1249
310	562	1246
311	563	1242
312	564	1239
313	566	1237
314	567	1234
315	569	1232
316	570	1229
317	572	1226
318	573	1223
319	574	1221
320	575	1218
321	577	1215
322	578	1212
323	579	1209
324	580	1206
325	582	1203
326	583	1200
327	584	1198
328	586	1195
329	587	1193
330	589	1190
331	590	1187
332	591	1184
333	592	1182
334	593	1179
335	595	1176
336	597	1174
337	598	1172
338	599	1169
339	601	1166
340	602	1164
341	604	1162
342	605	1160
343	607	1158
344	608	1155
345	610	1154
346	612	1152
347	613	1149
348	615	1147
349	616	1145
350	618	1142
351	619	1140
352	620	1137
353	621	1134
354	622	1131
355	623	1128
356	625	1126
357	626	1124
358	628	1121
359	629	1118
360	630	1116
361	631	1113
362	632	1110
363	633	1107
364	634	1104
365	635	1101
366	636	1098
367	637	1095
368	638	1092
369	640	1089
370	641	1087
371	642	1084
372	643	1081
373	644	1079
374	646	1076
375	647	1073
376	648	1070
377	648	1067
378	649	1064
379	650	1062
380	651	1059
381	652	1056
382	654	1053
383	655	1051
384	656	1048
385	657	1046
386	658	1043
387	659	1040
388	660	1037
389	661	1034
390	662	1031
391	663	1029
392	664	1026
393	665	1023
394	666	1020
395	667	1018
396	668	1015
397	669	1013
398	671	1010
399	672	1008
400	673	1006
401	674	1003
402	675	1001
403	677	998
404	678	996
405	679	993
406	680	990
407	681	988
408	682	985
409	683	982
410	684	980
411	685	977
412	686	975
413	687	973
414	688	971
415	689	968
416	690	966
417	692	963
418	693	961
419	694	959
420	695	956
421	696	953
422	697	951
423	698	948
424	699	946
425	701	944
426	702	942
427	703	939
428	704	937
429	705	934
430	706	932
431	707	930
432	708	927
433	709	925
434	710	922
435	711	920
436	712	917
437	713	915
438	714	913
439	715	911
440	717	908
441	718	906
442	719	904
443	720	901
444	721	899
445	722	896
446	723	894
447	724	892
448	725	889
449	726	887
450	727	885
451	728	882
452	729	880
453	730	878
454	731	876
455	733	874
456	734	872
457	735	870
458	736	868
459	737	866
460	738	863
461	739	861
462	741	859
463	742	857
464	743	855
465	744	852
466	747	852
467	748	850
468	749	848
469	750	846
470	751	844
471	753	842
472	754	840
473	755	838
474	756	835
475	757	833
476	758	831
477	759	829
478	760	827
479	761	825
480	763	823
481	764	821
482	765	819
483	766	817
484	767	814
485	768	812
486	769	810
487	770	808
488	771	806
489	772	804
490	773	802
491	775	800
492	776	798
493	777	796
494	778	794
495	779	792
496	781	790
497	782	788
498	783	786
499	783	783
500	785	781
501	786	779
502	787	777
503	788	775
504	789	773
505	790	771
506	791	769
507	792	767
508	793	765
509	794	763
510	795	761
511	796	759
512	797	757
513	798	755
514	799	753
515	800	750
516	801	748
517	802	746
518	803	744
519	805	743
520	806	741
521	807	739
522	808	737
523	809	735
524	810	733
525	811	731
526	812	729
527	813	727
528	814	725
529	815	723
530	816	721
531	817	719
532	818	717
533	819	715
534	821	713
535	822	711
536	823	709
537	824	707
538	825	705
539	826	703
540	827	701
541	828	699
542	829	697
543	830	695
544	831	693
545	832	692
546	833	690
547	834	688
548	835	686
549	837	684
550	838	682
